Notice_no,Titre,Technique,Origin_Lieu,Origin_Ville,Origin_Region,Origin_Pays,Date
216,La mort jouant de la chalemie,sculpture sur bois,Spitalkirsche,Baden-Baden,Bade-Wütemberg,Allemagne,1512
217,Le vif jouant de la chalemie,sculpture sur bois,Spitalkirsche,Baden-Baden,Bade-Wütemberg,Allemagne,1512
258,Personnage jouant de la chalemie,sculpture sur bois,Münster,Basel,Canton de Bâle,Suisse,1300
372,Ménestrier jouant de la chalemie,sculpture sur bois,Notre-Dame,Amiens,Somme,France,1508
438,Berger tenant une chalemie,sculpture sur ivoire,inconnu,Paris,Île-de-France,France,1300
453,Lapin jouant de la chalemie,enluminaire,inconnu,inconnue,Lombardie,Italie,1400
460,Tête de femme jouant de la chalemie,enluminaire,inconnu,Troyes,Aube,France,1250
34,Ange jouant du luth et ange jouant de la chalemie,vitrail,Saint-Jean-Baptiste,L'Arbresle,Rhône,France,1500
52,Deux musiciens jouant de la cornemuse et de la chalemie,sculpture sur bois,Saint-Anatoile,Salins-les-Bains,Jura,France,1480
230,Singe jouant de la chalemie et âne jouant du flûtet-tabor,sculpture sur bois,Ciudad Rodrigo,Ciudad Rodrigo,Salamanca,Espagne,1498
